dataset,recalibration_strategy,block_start,block_index,n,empirical_coverage,coverage_deviation,mean_interval_width,post_shift
rico,periodic,7281,44,60,0.95,0.0,0.5848027698567383,True
rico,periodic,7341,45,60,1.0,0.050000000000000044,0.5845087995140307,True
rico,periodic,7401,46,60,1.0,0.050000000000000044,0.5839481707079933,True
rico,periodic,7461,47,60,0.8833333333333333,0.06666666666666665,0.5831485479071784,True
rico,periodic,7521,48,60,0.8333333333333334,0.11666666666666659,0.5855076046783677,True
rico,periodic,7581,49,60,1.0,0.050000000000000044,0.5856511442678619,True
rico,periodic,7641,50,60,1.0,0.050000000000000044,0.5842796520686818,True
rico,periodic,7701,51,60,0.7166666666666667,0.23333333333333328,0.5840144092576539,True
rico,periodic,7761,52,60,0.95,0.0,0.5888206143196801,True
rico,periodic,7821,53,60,1.0,0.050000000000000044,0.5882182428818579,True
rico,periodic,7881,54,60,0.9,0.04999999999999993,0.5871420500764996,True
rico,periodic,7941,55,60,1.0,0.050000000000000044,0.58860404117949,True
rico,periodic,8001,56,60,1.0,0.050000000000000044,0.5880785874373832,True
rico,periodic,8061,57,60,1.0,0.050000000000000044,0.5870471475717892,True
rico,periodic,8121,58,60,0.9333333333333333,0.016666666666666607,0.5860165373563081,True
rico,periodic,8181,59,60,0.4166666666666667,0.5333333333333332,0.5877749914153464,True
rico,periodic,8241,60,60,0.2,0.75,0.5971504227455414,True
rico,periodic,8301,61,60,0.8166666666666667,0.1333333333333333,0.6075568941037254,True
rico,periodic,8361,62,60,0.6166666666666667,0.33333333333333326,0.610713734709843,True
rico,periodic,8421,63,60,0.9166666666666666,0.033333333333333326,0.6131615703657398,True
rico,periodic,8481,64,60,1.0,0.050000000000000044,0.6129547492620319,True
rico,periodic,8541,65,60,1.0,0.050000000000000044,0.6122723977570158,True
rico,periodic,8601,66,60,0.5833333333333334,0.3666666666666666,0.6123630378945066,True
rico,periodic,8661,67,60,0.95,0.0,0.6133295400164135,True
rico,periodic,8721,68,60,1.0,0.050000000000000044,0.6130361296809184,True
rico,periodic,8781,69,60,1.0,0.050000000000000044,0.6127449267452878,True
rico,periodic,8841,70,60,0.9666666666666667,0.01666666666666672,0.6123898094640746,True
rico,periodic,8901,71,60,1.0,0.050000000000000044,0.6118254035781663,True
rico,periodic,8961,72,60,1.0,0.050000000000000044,0.6110930695438114,True
rico,periodic,9021,73,60,1.0,0.050000000000000044,0.6103042764919837,True
rico,periodic,9081,74,60,0.9666666666666667,0.01666666666666672,0.6101161095217097,True
rico,periodic,9141,75,60,1.0,0.050000000000000044,0.6100024340258418,True
rico,periodic,9201,76,60,1.0,0.050000000000000044,0.609517816715957,True
rico,periodic,9261,77,21,1.0,0.050000000000000044,0.6091689475229022,True
rico,rolling,21,-77,60,0.95,0.0,0.24686485729154128,False
rico,rolling,81,-76,60,0.9333333333333333,0.016666666666666607,0.24862530438905334,False
rico,rolling,141,-75,60,0.2,0.75,0.2983394533164348,False
rico,rolling,201,-74,60,0.7833333333333333,0.16666666666666663,0.4216722735107273,False
rico,rolling,261,-73,60,1.0,0.050000000000000044,0.43873332971937085,False
rico,rolling,321,-72,60,0.55,0.3999999999999999,0.4461763053588302,False
rico,rolling,381,-71,60,1.0,0.050000000000000044,0.45946107071918785,False
rico,rolling,441,-70,60,0.45,0.49999999999999994,0.5246894600332515,False
rico,rolling,501,-69,60,1.0,0.050000000000000044,0.5922637864978267,False
rico,rolling,561,-68,60,1.0,0.050000000000000044,0.5929643203872937,False
rico,rolling,621,-67,60,1.0,0.050000000000000044,0.5926363043341908,False
rico,rolling,681,-66,60,1.0,0.050000000000000044,0.5920271316641423,False
