dataset,horizon,level,method,distribution,n,mean,q1,q5,q25,q50,q75,q95,q99
rico,60,0.9,cqr,native_calibration_score,9891,-0.6711850577330732,-6.967604007979046,-3.8182339301018935,-0.8210641927287945,-0.332877070051147,-0.013591841981174468,0.43017760594613463,1.3815215839444548
rico,60,0.95,cqr,own_calibration_signed_error,3297,0.13714617991846662,-1.947107175513759,-0.745762102254666,-0.23609013466147033,-0.008183024041407805,0.2829338491609086,1.8003188100025864,2.928797297636006
rico,60,0.95,cqr,own_test_signed_error,6437,-0.32540206755793505,-4.869981179045548,-2.8976006804031007,-1.125809672524145,-0.27327936784207907,0.661396934926465,2.07685537230485,3.8206045819154935
rico,60,0.95,cqr,native_calibration_score,9891,-0.9776619261725689,-6.789761539196054,-3.414971285130049,-1.390022248732425,-0.610310768406368,-0.09567208396500249,0.4327382814136307,1.0486185636124077
rico,60,0.9,recentred_enbpi_static,own_calibration_signed_error,3297,-0.06052839702760084,-1.6534319999999987,-1.243074,-0.5485369999999996,-0.2368350000000028,0.17166399999999982,1.6122360000000004,2.429845799999998
rico,60,0.9,recentred_enbpi_static,own_test_signed_error,6437,-1.1653434178965354,-8.848335160000001,-4.063439000000001,-2.0692500000000003,-0.9775429999999972,-0.2939299999999996,1.383899999999997,2.061047240000006
rico,60,0.9,recentred_enbpi_static,native_calibration_score,2765,-0.020679017987288714,-2.3030903244018557,-0.7008726501464846,-0.2131446838378892,-0.011633300781248579,0.22506942749023295,0.7886955261230462,1.224750030517579
rico,60,0.95,recentred_enbpi_static,own_calibration_signed_error,3297,-0.06052839702760084,-1.6534319999999987,-1.243074,-0.5485369999999996,-0.2368350000000028,0.17166399999999982,1.6122360000000004,2.429845799999998
rico,60,0.95,recentred_enbpi_static,own_test_signed_error,6437,-1.1653434178965354,-8.848335160000001,-4.063439000000001,-2.0692500000000003,-0.9775429999999972,-0.2939299999999996,1.383899999999997,2.061047240000006
rico,60,0.95,recentred_enbpi_static,native_calibration_score,2765,-0.020679017987288714,-2.3030903244018557,-0.7008726501464846,-0.2131446838378892,-0.011633300781248579,0.22506942749023295,0.7886955261230462,1.224750030517579
bdg2,1,0.9,cqr,own_calibration_signed_error,17370,1.1841127688700146,-97.18199294808504,-44.16264996746625,-6.453077732552483,-0.018932553697595722,7.402806751205844,50.42489342247029,108.16019643435943
