dataset,group_id,target_id,n_rows,start,end,freq,season_steps,seasonal_naive_supported,n_train,n_calibration,n_test
rico,P5S29,B.RTD3,240,2024-05-13 03:01:00,2024-05-13 07:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S30,B.RTD3,240,2024-05-13 07:01:00,2024-05-13 11:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S31,B.RTD3,240,2024-05-13 11:01:00,2024-05-13 15:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S32,B.RTD3,240,2024-05-13 15:01:00,2024-05-13 19:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S33,B.RTD3,240,2024-05-13 19:01:00,2024-05-13 23:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S34,B.RTD3,240,2024-05-13 23:01:00,2024-05-14 03:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S35,B.RTD3,240,2024-05-14 03:01:00,2024-05-14 07:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S36,B.RTD3,240,2024-05-14 07:01:00,2024-05-14 11:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S37,B.RTD3,240,2024-05-14 11:01:00,2024-05-14 15:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S38,B.RTD3,240,2024-05-14 15:01:00,2024-05-14 19:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S39,B.RTD3,240,2024-05-14 19:01:00,2024-05-14 23:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S40,B.RTD3,240,2024-05-14 23:01:00,2024-05-15 03:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S41,B.RTD3,240,2024-05-15 03:01:00,2024-05-15 07:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S42,B.RTD3,240,2024-05-15 07:01:00,2024-05-15 11:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S43,B.RTD3,240,2024-05-15 11:01:00,2024-05-15 15:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S44,B.RTD3,240,2024-05-15 15:01:00,2024-05-15 19:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S45,B.RTD3,240,2024-05-15 19:01:00,2024-05-15 23:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S46,B.RTD3,240,2024-05-15 23:01:00,2024-05-16 03:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S47,B.RTD3,240,2024-05-16 03:01:00,2024-05-16 07:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S48,B.RTD3,240,2024-05-16 07:01:00,2024-05-16 11:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S49,B.RTD3,240,2024-05-16 11:01:00,2024-05-16 15:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S50,B.RTD3,240,2024-05-16 15:01:00,2024-05-16 19:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S51,B.RTD3,240,2024-05-16 19:01:00,2024-05-16 23:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S52,B.RTD3,240,2024-05-16 23:01:00,2024-05-17 03:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S53,B.RTD3,240,2024-05-17 03:01:00,2024-05-17 07:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S54,B.RTD3,240,2024-05-17 07:01:00,2024-05-17 11:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S55,B.RTD3,240,2024-05-17 11:01:00,2024-05-17 15:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S56,B.RTD3,240,2024-05-17 15:01:00,2024-05-17 19:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S57,B.RTD3,240,2024-05-17 19:01:00,2024-05-17 23:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S58,B.RTD3,240,2024-05-17 23:01:00,2024-05-18 03:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S59,B.RTD3,240,2024-05-18 03:01:00,2024-05-18 07:00:00,0 days 00:01:00,,False,0,0,240
