dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
pleia,2,42,6,0.9,cqr,common,9902,0.300949303171077,-0.599050696828924,0.599050696828924,4.76952321261147,33.9716122134505,4.81511471447605,5.18493927570015,47679.2659027419,266201.360588295,47227.8188512788,336386.904137587,2980,9902,0,0,complete
pleia,2,42,6,0.9,recentred_enbpi_static,common,9902,0.0432235911936982,-0.856776408806302,0.856776408806302,2.35889682769776,73.0755569599393,4.71870157463139,5.10349886689869,46724.582992,257904.528177288,23357.7963878632,723594.165017319,428,9902,0,0,complete
pleia,2,42,6,0.9,recentred_enbpi_updated,common,9902,0.762674207230862,-0.137325792769138,0.137325792769138,6.30338694092103,10.2303430851343,4.71870157463139,5.10349886689869,46724.582992,257904.528177288,62416.137489,101300.857229,7552,9902,0,0,complete
pleia,2,42,6,0.9,dscp,common,9902,0.42324782872147,-0.47675217127853,0.47675217127853,3.52225521032171,23.4911415231466,4.28095192933319,4.69243280306859,42389.9860042572,218031.401403233,34877.3710926056,232609.283362198,4191,9902,0,0,complete
pleia,2,42,6,0.95,quantile_uncalibrated,common,9902,0.0383760856392648,-0.911623914360735,0.911623914360735,2.97642567890034,127.567391394141,4.81511471447605,5.18493927570015,47679.2659027419,266201.360588295,29472.5670724711,1263172.30958479,380,9902,0,0,complete
pleia,2,42,6,0.95,cqr,common,9902,0.373459907089477,-0.576540092910523,0.576540092910523,5.31366089365973,51.7938638189757,4.81511471447605,5.18493927570015,47679.2659027419,266201.360588295,52615.8701690187,512862.839535497,3698,9902,0,0,complete
pleia,2,42,6,0.95,recentred_enbpi_static,common,9902,0.0554433447788326,-0.894556655221167,0.894556655221167,2.92911624908447,136.086739216494,4.71870157463139,5.10349886689869,46724.582992,257904.528177288,29004.1090984344,1347530.89172172,549,9902,0,0,complete
pleia,2,42,6,0.95,recentred_enbpi_updated,common,9902,0.861341143203393,-0.0886588567966067,0.0886588567966067,7.11150599888911,10.7506861039184,4.71870157463139,5.10349886689869,46724.582992,257904.528177288,70418.132401,106453.293801,8529,9902,0,0,complete
pleia,2,42,6,0.95,dscp,common,9902,0.495859422338921,-0.454140577661079,0.454140577661079,4.24658161529505,35.8342750042661,4.28095192933319,4.69243280306859,42389.9860042572,218031.401403233,42049.6511546516,354830.991092243,4910,9902,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,6437,0.416032313189374,-0.483967686810626,0.483967686810626,2.18885258353365,8.79365736808068,0.178588953037741,0.301717404510623,1149.57709070394,585.981945492444,14089.6440802061,56604.7724783353,2678,6437,0,698,complete
