model_seed,control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
42,quantile_static,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,quantile_static,single_sample,combined,0.4274250663925532,77.95931272005882,1174,1553,30.0,70.0,21,9907,68.79861111111111,282,4.098919955586958,7688,53.388888888888886,0.776016957706672
42,quantile_static,single_sample,numerical_only,0.5896135587590001,68.1144719406257,1566,1161,40.0,60.0,21,9907,68.79861111111111,282,4.098919955586958,7688,53.388888888888886,0.776016957706672
43,cqr_rolling,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,cqr_rolling,180min_3of18,combined,0.38599420746559493,79.67205413151633,1074,1653,30.0,50.0,21,9907,68.79861111111111,65,0.9447865145856464,1872,13.0,0.18895730291712928
43,cqr_rolling,180min_3of18,numerical_only,0.27184089485891694,89.05588971474377,772,1955,30.0,60.0,21,9907,68.79861111111111,65,0.9447865145856464,1872,13.0,0.18895730291712928
43,cqr_rolling,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,cqr_rolling,30min_3of3,combined,0.4149661243472081,77.51373947534887,1171,1556,30.0,40.0,21,9907,68.79861111111111,89,1.2936307661249622,563,3.909722222222222,0.05682850509740587
43,cqr_rolling,30min_3of3,numerical_only,0.31817448142462695,86.25805225561997,900,1827,30.0,60.0,21,9907,68.79861111111111,89,1.2936307661249622,563,3.909722222222222,0.05682850509740587
43,cqr_rolling,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
